,Word,wcount
68,beach,274
436,km,151
849,tourist,126
910,water,99
46,attraction,64
93,boat,63
694,sand,63
820,swimming,60
230,distance,58
11,activity,56
893,village,52
866,tree,50
851,town,49
706,sea,49
890,view,46
414,island,45
303,fishing,44
655,region,41
569,palm,35
772,sport,33
793,stretch,33
162,coconut,32
773,spot,32
672,ride,31
748,site,28
733,shore,28
37,area,27
740,side,26
831,temple,25
377,hill,24
809,sunset,24
934,year,24
84,bird,23
575,part,23
889,vicinity,23
843,time,22
592,picnic,20
861,traveller,20
235,diving,20
221,destination,20
542,north,20
635,proximity,19
544,number,19
812,surfing,19
112,bus,18
665,resort,18
679,rock,18
294,ferry,18
675,river,17
302,fisherman,16
517,month,16
808,sunrise,16
160,coast,16
750,skiing,15
813,surroundings,15
767,specie,15
154,city,15
826,taxi,15
389,house,15
913,wave,15
912,watersports,14
259,end,14
237,dolphin,14
383,home,14
754,snorkelling,14
533,name,14
704,scuba,14
463,lighthouse,14
283,facility,13
440,lake,13
620,port,13
8,accommodation,13
161,coastline,13
572,park,13
804,sun,13
583,people,13
321,fort,13
318,forest,12
348,grove,12
173,confluence,12
667,restaurant,12
301,fish,12
671,rickshaw,12
48,auto,11
212,day,11
142,century,11
314,food,11
141,centre,11
17,adventure,11
59,bank,11
722,shack,11
459,life,10
605,plantation,10
903,walk,10
443,land,10
870,trip,10
883,variety,10
386,hotel,10
431,kilometre,10
199,cruise,9
