,Word,wcount
68,beach,274
436,km,151
849,tourist,126
910,water,99
46,attraction,64
93,boat,63
694,sand,63
820,swimming,60
230,distance,58
11,activity,56
893,village,52
866,tree,50
851,town,49
706,sea,49
890,view,46
414,island,45
303,fishing,44
655,region,41
569,palm,35
772,sport,33
793,stretch,33
162,coconut,32
773,spot,32
672,ride,31
748,site,28
733,shore,28
37,area,27
740,side,26
831,temple,25
377,hill,24
809,sunset,24
934,year,24
84,bird,23
575,part,23
889,vicinity,23
843,time,22
592,picnic,20
861,traveller,20
235,diving,20
221,destination,20
542,north,20
635,proximity,19
544,number,19
812,surfing,19
112,bus,18
665,resort,18
679,rock,18
294,ferry,18
675,river,17
302,fisherman,16
517,month,16
808,sunrise,16
160,coast,16
750,skiing,15
813,surroundings,15
767,specie,15
154,city,15
826,taxi,15
389,house,15
913,wave,15
912,watersports,14
259,end,14
237,dolphin,14
383,home,14
754,snorkelling,14
533,name,14
704,scuba,14
463,lighthouse,14
283,facility,13
440,lake,13
620,port,13
8,accommodation,13
161,coastline,13
572,park,13
804,sun,13
583,people,13
321,fort,13
318,forest,12
348,grove,12
173,confluence,12
667,restaurant,12
301,fish,12
671,rickshaw,12
48,auto,11
212,day,11
142,century,11
314,food,11
141,centre,11
17,adventure,11
59,bank,11
722,shack,11
459,life,10
605,plantation,10
903,walk,10
443,land,10
870,trip,10
883,variety,10
386,hotel,10
431,kilometre,10
199,cruise,9
686,ruin,9
429,kayaking,9
359,handicraft,9
897,visitor,9
156,cliff,9
554,opportunity,9
762,south,9
885,vegetation,9
439,lagoon,9
727,ship,9
807,sunbathing,9
491,market,9
708,seafood,9
152,church,8
778,stall,8
781,station,8
780,state,8
914,way,8
741,sight,8
725,shell,8
909,watching,8
847,top,8
137,cave,8
60,bar,8
297,festival,8
712,seashore,8
479,m,8
873,turtle,8
396,hut,7
723,shape,7
346,group,7
786,stone,7
180,cottage,7
388,hour,7
378,hillock,7
718,service,7
844,tip,7
281,extension,7
50,backwater,7
613,point,7
692,sailing,7
74,beauty,7
98,border,7
512,minute,7
44,atmosphere,7
104,bridge,7
578,path,7
677,road,6
324,freshwater,6
930,world,6
23,airport,6
486,mango,6
840,tide,6
714,season,6
734,shoreline,6
888,vessel,6
919,west,6
13,addition,6
200,crystal,6
58,banana,6
361,harbour,6
925,windsurfing,6
169,community,6
536,nature,6
121,camping,6
315,foot,6
782,statue,6
854,trading,6
850,tower,6
270,estuary,6
917,week,6
419,jet,6
132,casuarina,6
472,location,6
518,monument,5
522,motor,5
282,face,5
340,government,5
299,film,5
286,family,5
540,night,5
331,gateway,5
382,holiday,5
564,oyster,5
687,rule,5
506,middle,5
158,clothes,5
645,railway,5
555,option,5
272,event,5
476,lover,5
271,evening,5
291,fee,5
106,building,5
557,order,5
471,local,5
151,child,5
581,pearl,5
918,weekend,4
924,wind,4
256,elevation,4
797,structure,4
21,air,4
224,devotee,4
250,east,4
305,flea,4
761,source,4
232,district,4
262,enthusiast,4
354,habitat,4
181,country,4
421,jewellery,4
612,pm,4
721,settlement,4
453,leisure,4
475,lot,4
164,collection,4
170,complex,4
483,maker,4
731,shop,4
775,spring,4
493,massage,4
240,drink,4
626,presence,4
835,terrain,4
508,mile,4
67,bay,4
192,creek,4
298,field,4
745,significance,4
263,entrance,4
374,highlight,4
75,bed,4
609,plenty,3
633,property,3
774,spotting,3
768,speed,3
616,pool,3
606,platform,3
582,pedal,3
604,plant,3
432,kind,3
576,party,3
738,shrine,3
384,honeymoon,3
505,metre,3
487,mangrove,3
400,idol,3
688,ruler,3
403,importance,3
693,salt,3
457,level,3
700,scooter,3
454,length,3
416,item,3
452,legend,3
420,jetty,3
450,lava,3
423,joint,3
381,history,3
670,retreat,3
320,formation,3
365,headland,3
639,purpose,3
566,paddy,3
644,railhead,3
763,southernmost,3
327,fruit,3
332,getaway,3
333,glass,3
652,reef,3
549,ocean,3
548,occupation,3
349,guest,3
751,slope,3
785,step,3
356,hamlet,3
358,hand,3
524,mountain,3
308,flora,3
77,belief,3
28,ambience,3
32,angling,3
278,experience,3
177,coral,3
867,trekking,3
242,drive,3
916,weather,3
36,architecture,3
236,division,3
900,volleyball,3
57,bamboo,3
811,surf,3
189,crab,3
814,suru,3
115,butterfly,3
62,base,3
833,tent,3
896,visit,3
110,bungalow,3
217,delta,3
70,beachside,3
892,villa,3
211,dance,3
202,cuisine,3
31,amusement,3
838,thing,3
865,treatment,3
794,strip,3
268,era,3
9,acre,3
5,abundance,3
848,tourism,3
159,club,3
128,car,3
799,style,3
490,mark,2
94,boating,2
684,row,2
418,jack,2
425,jungle,2
691,sail,2
875,type,2
473,lodge,2
716,seeker,2
689,sacrifice,2
489,maritime,2
478,luxury,2
140,cemetery,2
111,bunker,2
481,machine,2
482,mainland,2
855,train,2
99,bottom,2
102,box,2
114,business,2
465,line,2
705,sculpture,2
444,language,2
864,treasure,2
442,lamp,2
702,scooting,2
130,cashew,2
434,kingdom,2
122,canal,2
683,route,2
433,king,2
868,tributary,2
869,trinket,2
117,cabin,2
871,tsunami,2
134,catch,2
859,transportation,2
858,transport,2
458,library,2
713,seaside,2
139,celebration,2
92,board,2
784,steel,2
495,matter,2
631,project,2
33,animal,2
641,quality,2
571,parasailing,2
29,amenity,2
637,public,2
636,pub,2
921,width,2
18,affair,2
586,period,2
926,wine,2
588,permit,2
927,winter,2
563,outskirt,2
627,present,2
598,pillar,2
624,practice,2
623,power,2
621,portion,2
929,work,2
7,access,2
607,play,2
619,population,2
610,plethora,2
618,popularity,2
568,palace,2
646,range,2
681,room,2
521,mosque,2
678,roadway,2
504,metal,2
86,birdwatching,2
