,Word,wcount
2921,temple,660
492,century,300
3243,year,287
2837,style,274
3008,tourist,266
1188,fort,265
210,attraction,265
1601,km,245
553,city,236
1944,museum,234
2701,site,199
2070,palace,190
1456,idol,189
2829,structure,188
2972,time,177
2676,shrine,171
151,architecture,167
2811,stone,166
2585,sculpture,158
2099,part,157
3164,wall,156
904,distance,154
819,deity,152
395,building,151
593,collection,148
3011,town,148
2067,painting,146
855,devotee,133
156,area,131
2142,period,124
460,carving,123
799,day,120
1402,history,119
248,bank,119
2408,region,118
2181,pillar,117
1904,monument,115
621,complex,114
1594,king,114
1396,hill,114
1092,family,114
2514,ruler,113
1500,inscription,112
2797,statue,112
1785,marble,109
54,ad,106
1117,festival,105
1343,hall,104
2277,premise,103
2681,side,102
1912,mosque,101
491,centre,101
3147,village,100
1955,name,97
3173,water,96
1460,image,96
1014,entrance,89
1903,month,88
2987,tomb,87
1185,form,87
170,art,85
1676,life,85
657,construction,85
921,dome,79
2995,top,78
1230,gallery,77
1431,house,77
1237,garden,76
1245,gate,73
3139,view,72
2137,people,72
2494,room,71
2411,reign,67
1174,foot,66
1995,number,66
2512,ruin,64
3225,work,64
846,destination,64
171,artefact,64
901,display,63
3010,tower,61
1279,goddess,61
2792,state,61
2542,sanctum,60
840,design,59
1374,height,56
1159,floor,56
2488,road,56
1728,m,55
589,coin,55
2735,son,55
1107,feature,54
1384,heritage,54
2467,rickshaw,53
979,elephant,52
2768,spot,51
752,culture,50
218,auto,49
2490,rock,49
701,courtyard,49
