,Word,wcount,,
2921,temple,660,,Architecture
492,century,300,,History
3243,year,287,,Religious
2837,style,274,,
3008,tourist,266,,
1188,fort,265,,
210,attraction,265,,
1601,km,245,,
553,city,236,,
1944,museum,234,,
2701,site,199,,
2070,palace,190,,
1456,idol,189,,
2829,structure,188,,
2972,time,177,,
2676,shrine,171,,
151,architecture,167,,
2811,stone,166,,
2585,sculpture,158,,
2099,part,157,,
3164,wall,156,,
904,distance,154,,
819,deity,152,,
395,building,151,,
593,collection,148,,
3011,town,148,,
2067,painting,146,,
855,devotee,133,,
156,area,131,,
2142,period,124,,
460,carving,123,,
799,day,120,,
1402,history,119,,
248,bank,119,,
2408,region,118,,
2181,pillar,117,,
1904,monument,115,,
621,complex,114,,
1594,king,114,,
1396,hill,114,,
1092,family,114,,
2514,ruler,113,,
1500,inscription,112,,
2797,statue,112,,
1785,marble,109,,
54,ad,106,,
1117,festival,105,,
1343,hall,104,,
2277,premise,103,,
2681,side,102,,
1912,mosque,101,,
491,centre,101,,
3147,village,100,,
1955,name,97,,
3173,water,96,,
1460,image,96,,
1014,entrance,89,,
1903,month,88,,
2987,tomb,87,,
1185,form,87,,
170,art,85,,
1676,life,85,,
657,construction,85,,
921,dome,79,,
2995,top,78,,
1230,gallery,77,,
1431,house,77,,
1237,garden,76,,
1245,gate,73,,
3139,view,72,,
2137,people,72,,
2494,room,71,,
2411,reign,67,,
1174,foot,66,,
1995,number,66,,
2512,ruin,64,,
3225,work,64,,
846,destination,64,,
171,artefact,64,,
901,display,63,,
3010,tower,61,,
1279,goddess,61,,
2792,state,61,,
2542,sanctum,60,,
840,design,59,,
1374,height,56,,
1159,floor,56,,
2488,road,56,,
1728,m,55,,
589,coin,55,,
2735,son,55,,
1107,feature,54,,
1384,heritage,54,,
2467,rickshaw,53,,
979,elephant,52,,
2768,spot,51,,
752,culture,50,,
218,auto,49,,
2490,rock,49,,
701,courtyard,49,,
1127,figure,48,,
405,bus,48,,
2902,tank,48,,
543,church,48,,
480,ceiling,47,,
2270,prayer,46,,
1942,mural,46,,
1025,era,46,,
2492,roof,46,,
1214,ft,45,,
3153,visit,45,,
2180,pilgrimage,45,,
3044,tree,44,,
3231,world,44,,
2483,river,44,,
442,capital,44,,
3135,vicinity,44,,
2547,sandstone,44,,
1053,exhibit,44,,
1281,gold,44,,
1661,legend,44,,
2445,residence,43,,
1840,memory,43,,
963,east,43,,
1247,gateway,43,,
1989,north,42,,
2820,story,41,,
906,district,41,,
2640,shape,41,,
2807,step,41,,
2206,platform,41,,
3206,wife,40,,
1780,manuscript,40,,
2818,storey,39,,
1316,ground,39,,
2513,rule,39,,
924,door,38,,
1839,memorial,38,,
1412,home,38,,
1673,library,37,,
3155,visitor,37,,
143,arch,37,,
49,acre,36,,
1669,level,36,,
3218,woman,36,,
1394,highlight,35,,
118,animal,35,,
2530,saint,35,,
1184,forest,35,,
1592,kilometre,34,,
801,death,34,,
2907,taxi,34,,
700,court,34,,
1278,god,34,,
1533,item,34,,
3036,traveller,33,,
477,cave,33,,
1371,heart,33,,
2217,pm,33,,
1046,example,33,,
3178,way,32,,
958,dynasty,32,,
2586,sea,32,,
1706,location,32,,
2599,section,32,,
354,book,32,,
2982,today,31,,
283,battle,31,,
2932,terracotta,31,,
2833,student,31,,
1428,hotel,31,,
2014,office,30,,
2853,summer,30,,
2122,pavilion,30,,
1271,glass,30,,
3211,window,30,,
1476,incarnation,30,,
2689,significance,30,,
1291,government,29,,
2232,pond,29,,
683,corner,29,,
2693,silver,29,,
350,body,29,,
327,bird,29,,
2179,pilgrim,28,,
2002,object,28,,
1868,minaret,28,,
2329,public,27,,
296,beauty,27,,
1089,fair,27,,
501,chamber,27,,
55,addition,27,,
2280,present,27,,
1626,lake,26,,
1516,interior,26,,
1851,metre,26,,
2121,pattern,26,,
3233,worship,26,,
1629,land,26,,
3181,weapon,26,,
1318,group,25,,
695,country,25,,
3195,west,25,,
2431,replica,25,,
387,bronze,25,,
1351,handicraft,25,,
1349,hand,25,,
1038,event,25,,
173,article,25,,
2034,order,25,,
1108,fee,25,,
970,edifice,25,,
1212,front,24,,
1717,lotus,24,,
1468,importance,24,,
1199,fountain,24,,
481,celebration,24,,
2043,others,24,,
2593,seat,23,,
2255,posture,23,,
381,brick,23,,
2006,occasion,23,,
305,belief,23,,
1595,kingdom,23,,
