,Word,wcount
752,km,263
1463,tourist,255
1535,view,187
761,lake,180
658,hill,142
382,distance,131
1561,water,131
1342,spot,122
1291,site,117
902,mountain,115
81,attraction,110
545,forest,110
1563,waterfall,108
1228,sea,103
814,m,102
784,level,98
1466,town,97
1518,valley,97
644,height,95
1009,peak,95
1142,region,89
1061,point,89
1489,trekking,81
1449,time,73
1539,village,72
1030,picnic,70
1176,road,66
62,area,66
559,ft,65
498,fall,65
1178,rock,61
366,destination,61
37,altitude,60
1128,range,55
1308,snow,53
232,cave,52
1612,year,52
927,nature,50
142,bird,49
538,foot,49
1457,top,48
1433,temple,48
433,elevation,47
924,name,47
1426,tea,47
993,part,44
1378,stream,44
1362,station,44
1566,way,43
892,month,43
14,activity,42
263,city,42
1487,trek,40
1280,side,40
1332,specie,36
1322,source,35
870,metre,35
1485,tree,35
1174,river,34
1482,traveller,34
1186,route,33
891,monsoon,32
1474,trail,32
804,location,32
119,beauty,32
1406,surroundings,31
747,kilometre,31
348,day,30
812,lover,30
1544,visitor,29
384,district,29
104,base,29
201,bus,29
1230,season,28
815,m.,27
566,garden,27
943,number,27
1361,state,26
237,centre,26
1401,sunset,26
1016,people,26
1001,path,25
1488,trekker,24
1049,plantation,23
1534,vicinity,23
98,bank,22
689,house,22
163,body,22
47,animal,22
1304,slope,21
673,home,21
490,facility,21
1345,spring,21
1254,shape,20
266,cliff,20
1282,sight,20
432,elephant,20
779,legend,20
528,flora,20
1396,summer,20
