,Word,wcount
752,km,263
1463,tourist,255
1535,view,187
761,lake,180
658,hill,142
382,distance,131
1561,water,131
1342,spot,122
1291,site,117
902,mountain,115
81,attraction,110
545,forest,110
1563,waterfall,108
1228,sea,103
814,m,102
784,level,98
1466,town,97
1518,valley,97
644,height,95
1009,peak,95
1142,region,89
1061,point,89
1489,trekking,81
1449,time,73
1539,village,72
1030,picnic,70
1176,road,66
62,area,66
559,ft,65
498,fall,65
1178,rock,61
366,destination,61
37,altitude,60
1128,range,55
1308,snow,53
232,cave,52
1612,year,52
927,nature,50
142,bird,49
538,foot,49
1457,top,48
1433,temple,48
433,elevation,47
924,name,47
1426,tea,47
993,part,44
1378,stream,44
1362,station,44
1566,way,43
892,month,43
14,activity,42
263,city,42
1487,trek,40
1280,side,40
1332,specie,36
1322,source,35
870,metre,35
1485,tree,35
1174,river,34
1482,traveller,34
1186,route,33
891,monsoon,32
1474,trail,32
804,location,32
119,beauty,32
1406,surroundings,31
747,kilometre,31
348,day,30
812,lover,30
1544,visitor,29
384,district,29
104,base,29
201,bus,29
1230,season,28
815,m.,27
566,garden,27
943,number,27
1361,state,26
237,centre,26
1401,sunset,26
1016,people,26
1001,path,25
1488,trekker,24
1049,plantation,23
1534,vicinity,23
98,bank,22
689,house,22
163,body,22
47,animal,22
1304,slope,21
673,home,21
490,facility,21
1345,spring,21
1254,shape,20
266,cliff,20
1282,sight,20
432,elephant,20
779,legend,20
528,flora,20
1396,summer,20
501,family,20
275,coffee,19
1521,variety,18
270,climbing,18
764,land,18
1400,sunrise,17
215,camping,17
459,estate,16
1043,plain,16
531,flower,16
1523,vegetation,16
16,addition,16
1425,taxi,16
1105,proximity,16
161,boat,16
1323,south,15
417,east,15
370,devotee,15
478,experience,15
1542,visit,15
186,bridge,15
583,glimpse,15
1067,pool,15
1549,walk,15
1235,seeker,15
959,opportunity,14
521,fish,14
523,fishing,14
991,park,14
21,adventure,14
1347,sq,14
1536,viewpoint,14
1153,reservoir,13
342,dam,13
801,local,13
682,horse,13
89,backdrop,13
1168,ride,13
848,meadow,13
440,end,12
402,drinking,12
1398,sun,12
786,life,12
1577,west,12
1591,winter,12
1283,sightseeing,12
118,bear,12
1258,shelter,12
1022,permission,12
12,acre,12
604,ground,12
602,greenery,12
1123,rain,11
1520,vantage,11
881,minute,11
1365,step,11
487,eye,11
1385,structure,11
1065,pond,11
125,belief,11
938,north,11
581,glacier,11
446,enthusiast,11
1040,pine,10
491,fact,10
823,man,10
1604,world,10
1084,presence,10
1602,word,10
1156,resort,10
1021,period,10
996,pas,10
1493,tribe,10
228,cascade,10
214,camp,10
1479,transport,10
1278,shrine,10
1231,seat,10
945,oak,9
1447,tiger,9
956,one,9
549,fort,9
222,capital,9
1410,swimming,9
30,air,9
537,food,9
659,hillock,9
361,depth,9
1271,shop,9
530,flow,9
749,king,9
1170,riding,9
1048,plant,9
1028,photography,9
514,field,9
767,landscape,9
277,colour,9
614,habitat,9
1078,power,9
698,ice,8
1465,tower,8
688,hour,8
965,order,8
578,ghat,8
1066,pony,8
238,century,8
606,group,8
353,deity,8
598,grassland,8
350,deer,8
656,hiking,8
554,freshwater,8
610,guide,8
704,idol,8
504,fauna,8
766,landmark,8
782,length,8
1367,stone,8
1356,stand,8
632,head,8
167,border,8
1321,sound,8
1586,wildlife,8
740,journey,8
730,island,8
1341,sport,8
1212,sanctuary,8
1273,shore,7
1051,plateau,7
1469,track,7
453,equipment,7
607,grove,7
332,crystal,7
1194,rule,7
448,entrance,7
1165,rhododendron,7
495,fair,7
640,heart,7
551,fountain,7
1101,property,7
998,passage,7
1162,retreat,7
896,morning,7
586,god,7
1375,story,7
415,earth,7
1317,son,7
1390,style,7
546,form,7
908,movie,7
920,mythology,7
935,night,7
872,middle,7
1320,soul,7
1484,treat,7
168,bottom,7
223,car,7
252,child,7
1597,wood,7
227,carving,7
1552,wall,7
54,apple,6
686,hotel,6
376,dip,6
1305,snack,6
46,angling,6
77,atmosphere,6
1159,restaurant,6
1175,rivulet,6
1131,ravine,6
312,couple,6
1083,premise,6
1397,summit,6
403,drive,6
608,guest,6
547,formation,6
1436,terrain,6
1363,statue,6
853,measure,6
706,image,6
94,bamboo,6
512,festival,6
963,orchard,6
355,demon,6
502,farm,6
878,mineral,6
669,holiday,6
577,getaway,6
111,bath,6
1462,tourism,6
1071,population,6
268,climb,6
310,country,6
279,community,6
539,foothill,6
1161,result,6
474,exile,6
1203,saint,5
1119,rail,5
1180,roof,5
743,jungle,5
189,brother,5
144,birdwatching,5
1246,service,5
1122,railway,5
1201,sage,5
1481,travel,5
1296,skiing,5
748,kind,5
137,biking,5
925,native,5
1355,stall,5
620,hand,5
1036,pilgrim,5
200,bungalow,5
792,line,5
262,circumference,5
1058,pm,5
783,leopard,5
653,highway,5
6,abode,5
1475,train,5
1195,ruler,5
1571,weather,5
1079,prayer,5
291,construction,5
8,accommodation,5
488,face,5
1221,scenery,5
463,evening,5
1337,spice,5
507,fee,4
575,generation,4
770,lap,4
1169,ridge,4
884,mist,4
904,mountaineering,4
169,boulder,4
887,monastery,4
1207,sambar,4
450,environment,4
1325,souvenir,4
1360,starting,4
1364,stay,4
395,dove,4
83,auto,4
888,monk,4
1152,reserve,4
506,feature,4
889,monkey,4
44,ancestor,4
146,bison,4
893,monument,4
1306,snake,4
195,building,4
1494,tributary,4
1402,supply,4
147,bit,4
1145,religion,4
1146,remains,4
809,lot,4
1227,sculpture,4
477,expedition,4
1294,ski,4
1300,sky,4
7,abundance,4
36,alpine,4
1354,stalagmite,4
303,corner,4
1511,type,4
15,ad,4
242,chamber,4
1183,ropeway,4
1037,pilgrimage,4
1556,warrior,4
645,help,4
1193,ruin,4
1185,round,4
184,breeze,4
1099,project,4
1052,platform,4
244,character,4
1074,portion,4
273,club,4
1187,row,4
113,bathing,4
269,climber,4
1461,tour,4
1467,township,4
834,market,4
258,church,4
668,hole,4
1007,peace,4
666,history,4
1285,significance,4
1480,transportation,4
357,department,4
354,delight,4
99,bar,4
955,officer,4
1334,speed,4
590,government,4
964,orchid,4
343,dance,4
732,itinerary,4
596,granite,4
597,grass,4
1583,wife,4
970,others,4
788,light,4
721,inscription,4
728,iron,4
977,paddle,4
1102,protection,4
979,painting,4
1540,villager,4
980,palace,4
988,paradise,4
1289,sin,4
1109,purpose,4
493,factory,3
798,lion,3
795,lingam,3
497,faith,3
516,fighter,3
1574,weekend,3
791,limestone,3
810,lotus,3
1338,spirit,3
1468,toy,3
171,boundary,3
526,flight,3
1247,set,3
710,incarnation,3
617,hall,3
619,hamlet,3
621,handicraft,3
708,importance,3
1279,shrub,3
1547,volcano,3
631,haven,3
1277,shrike,3
695,hut,3
694,husband,3
691,housing,3
1557,watch,3
114,battle,3
680,horizon,3
1266,shoe,3
652,highlight,3
654,hike,3
677,honour,3
662,hilltop,3
611,guru,3
101,barley,3
589,gorge,3
768,language,3
1573,week,3
162,boating,3
535,folklore,3
1217,saucer,3
1524,vehicle,3
541,footprint,3
775,leaf,3
1220,scene,3
153,bloom,3
553,freedom,3
1298,skin,3
763,lamp,3
762,lakeside,3
1312,soil,3
756,kund,3
1229,search,3
91,backwater,3
572,gaur,3
185,brick,3
745,kid,3
576,geologist,3
850,mean,3
1133,reason,3
954,office,3
949,observatory,3
40,ambience,3
363,descent,3
939,nose,3
225,cardamom,3
1132,ray,3
1581,whole,3
1403,surface,3
919,myth,3
909,mt,3
1154,residence,3
1391,sub,3
898,motor,3
1158,rest,3
53,appearance,3
414,eagle,3
204,butterfly,3
1381,stretch,3
203,bustle,3
1124,rainfall,3
960,option,3
424,edge,3
347,daughter,3
1060,poet,3
271,clothes,3
272,cloud,3
283,complex,3
286,condition,3
1076,post,3
1038,pillar,3
1032,picturesque,3
1025,pheasant,3
1445,ticket,3
1097,production,3
1000,pasture,3
27,afternoon,3
1434,tent,3
28,age,3
983,panda,3
974,oval,3
1421,tale,3
1603,work,3
420,eatery,3
665,historian,3
849,meal,3
1177,robber,3
844,matter,3
869,meter,3
468,evil,3
1501,trout,3
1584,wilderness,3
449,entry,3
452,epic,3
1353,stair,3
865,merges,3
873,midst,3
1167,rickshaw,3
1184,rose,3
1173,ritual,3
454,era,3
877,mind,3
858,meeting,3
20,admission,2
1089,prince,2
1013,pedal,2
1611,yatra,2
1251,shadow,2
1559,watching,2
700,idea,2
787,lift,2
1093,process,2
1249,settlement,2
1582,width,2
1558,watcher,2
1607,writer,2
1248,setting,2
997,pass,2
821,mammal,2
715,independence,2
717,industry,2
1199,sacrifice,2
718,inhabitant,2
1106,public,2
1108,purifies,2
985,panoramic,2
699,iceberg,2
1024,person,2
1198,run,2
676,honeymooner,2
829,map,2
678,hood,2
1050,planter,2
1072,porcupine,2
1056,plenty,2
831,marble,2
1057,plunge,2
18,administrator,2
833,mark,2
670,holidaying,2
1618,zone,2
1063,pole,2
1064,pollution,2
1619,zoo,2
1046,planet,2
681,horn,2
685,host,2
828,manufacturing,2
1045,plane,2
827,manmade,2
687,hotspot,2
690,houseboat,2
1029,phumdis,2
692,hub,2
693,human,2
1027,photographer,2
1181,room,2
696,hydel,2
1238,semi,2
697,hydro,2
1085,present,2
725,interest,2
731,item,2
855,medicine,2
61,architecture,2
1224,scooter,2
760,lady,2
1151,resemblance,2
1593,witness,2
1223,school,2
1171,right,2
1592,wish,2
63,army,2
1155,resident,2
51,anyone,2
772,lawn,2
796,link,2
773,lead,2
1160,resting,2
913,museum,2
778,left,2
890,monolith,2
1214,sand,2
1588,wind,2
781,leisure,2
885,mode,2
1572,weed,2
875,mile,2
80,attention,2
56,arch,2
785,lie,2
1163,return,2
57,archaeologist,2
911,municipality,2
915,musk,2
729,irrigation,2
742,junction,2
973,outskirt,2
967,origin,2
966,ore,2
