Atr_id,Atr_name,Attribute,Attribute_final_score,Attribute_score_neg,Attribute_score_neu,Attribute_score_pos,Category,Excl_from_vslzn,City,District,Place,State,Formatted_Address,Lat,Lng,Pincode
429,1008 Lingam Temple,architecture,0,2,0,0,Heritage,No,NULL,Salem District,Salem,Tamil Nadu,"1008 Lingam Shivan Temple, Salem, Salem District, Tamil Nadu",11.592514,78.07713,636308
429,1008 Lingam Temple,art,100,0,0,2,Heritage,No,NULL,Salem District,Salem,Tamil Nadu,"1008 Lingam Shivan Temple, Salem, Salem District, Tamil Nadu",11.592514,78.07713,636308
429,1008 Lingam Temple,religion,0,0,1,0,Heritage,No,NULL,Salem District,Salem,Tamil Nadu,"1008 Lingam Shivan Temple, Salem, Salem District, Tamil Nadu",11.592514,78.07713,636308
10247,1008 Lingam Temple,activity,75.47169811,8,5,40,Hill-Station,No,NULL,Salem District,Ariyanoor Salem,Tamil Nadu,"Ariyanoor, Salem, Salem District, Tamil Nadu",11.592514,78.07713,636308
10247,1008 Lingam Temple,landscape,67.1641791,13,9,45,Hill-Station,No,NULL,Salem District,Ariyanoor Salem,Tamil Nadu,"Ariyanoor, Salem, Salem District, Tamil Nadu",11.592514,78.07713,636308
10247,1008 Lingam Temple,view,64.28571429,2,8,18,Hill-Station,No,NULL,Salem District,Ariyanoor Salem,Tamil Nadu,"Ariyanoor, Salem, Salem District, Tamil Nadu",11.592514,78.07713,636308
10247,1008 Lingam Temple,climate,91.66666667,1,0,11,Hill-Station,No,NULL,Salem District,Ariyanoor Salem,Tamil Nadu,"Ariyanoor, Salem, Salem District, Tamil Nadu",11.592514,78.07713,636308
10463,32-km Loop Road,activity,63.39869281,33,23,97,Hill-Station,No,Yercaud,Salem District,Yercaud,Tamil Nadu,"Bliss Spa, Yercaud Main Road, Yercaud, Salem District, Yercaud, Tamil Nadu",11.785778,78.208562,636602
10463,32-km Loop Road,climate,55.55555556,3,5,10,Hill-Station,No,Yercaud,Salem District,Yercaud,Tamil Nadu,"Bliss Spa, Yercaud Main Road, Yercaud, Salem District, Yercaud, Tamil Nadu",11.785778,78.208562,636602
10463,32-km Loop Road,landscape,71.79487179,6,5,28,Hill-Station,No,Yercaud,Salem District,Yercaud,Tamil Nadu,"Bliss Spa, Yercaud Main Road, Yercaud, Salem District, Yercaud, Tamil Nadu",11.785778,78.208562,636602
10463,32-km Loop Road,view,55.10204082,12,10,27,Hill-Station,No,Yercaud,Salem District,Yercaud,Tamil Nadu,"Bliss Spa, Yercaud Main Road, Yercaud, Salem District, Yercaud, Tamil Nadu",11.785778,78.208562,636602
6673,6th Mile,activity,100,0,0,7,Hill-Station,No,Kadirur,Kannur District,Ooty,Kerala,"6th Mile, Thalassery, Kannur District, Kadirur, Kerala",11.800878,75.544379,670642
6673,6th Mile,landscape,0,0,1,0,Hill-Station,No,Kadirur,Kannur District,Ooty,Kerala,"6th Mile, Thalassery, Kannur District, Kadirur, Kerala",11.800878,75.544379,670642
6673,6th Mile,view,50,0,1,1,Hill-Station,No,Kadirur,Kannur District,Ooty,Kerala,"6th Mile, Thalassery, Kannur District, Kadirur, Kerala",11.800878,75.544379,670642
6673,6th Mile,climate,0,0,1,0,Hill-Station,No,Kadirur,Kannur District,Ooty,Kerala,"6th Mile, Thalassery, Kannur District, Kadirur, Kerala",11.800878,75.544379,670642
6668,9th Mile,view,76.92307692,1,2,10,Hill-Station,No,Dimapur,Dimapur District,Ooty,Nagaland,"4th Mile, Chumukedima, Dimapur District, Dimapur, Nagaland",25.864531,93.76911,797115
6668,9th Mile,climate,0,1,0,0,Hill-Station,No,Dimapur,Dimapur District,Ooty,Nagaland,"4th Mile, Chumukedima, Dimapur District, Dimapur, Nagaland",25.864531,93.76911,797115
6668,9th Mile,activity,68.75,2,3,11,Hill-Station,No,Dimapur,Dimapur District,Ooty,Nagaland,"4th Mile, Chumukedima, Dimapur District, Dimapur, Nagaland",25.864531,93.76911,797115
6668,9th Mile,landscape,75,0,1,3,Hill-Station,No,Dimapur,Dimapur District,Ooty,Nagaland,"4th Mile, Chumukedima, Dimapur District, Dimapur, Nagaland",25.864531,93.76911,797115
9514,Aam Khas Bagh,art,88.88888889,0,1,8,Heritage,No,Fatehgarh,Farrukhabad District,Preet Nagar Fatehgarh Sahib Fatehgarh,Uttar Pradesh,"BPM School, SSB Nagar, Farrukhabad, Farrukhabad District, Fatehgarh, Uttar Pradesh",27.364574,79.634987,209601
9514,Aam Khas Bagh,architecture,58.82352941,3,4,10,Heritage,No,Fatehgarh,Farrukhabad District,Preet Nagar Fatehgarh Sahib Fatehgarh,Uttar Pradesh,"BPM School, SSB Nagar, Farrukhabad, Farrukhabad District, Fatehgarh, Uttar Pradesh",27.364574,79.634987,209601
9514,Aam Khas Bagh,culture,50,1,1,2,Heritage,No,Fatehgarh,Farrukhabad District,Preet Nagar Fatehgarh Sahib Fatehgarh,Uttar Pradesh,"BPM School, SSB Nagar, Farrukhabad, Farrukhabad District, Fatehgarh, Uttar Pradesh",27.364574,79.634987,209601
9514,Aam Khas Bagh,history,50,1,1,2,Heritage,No,Fatehgarh,Farrukhabad District,Preet Nagar Fatehgarh Sahib Fatehgarh,Uttar Pradesh,"BPM School, SSB Nagar, Farrukhabad, Farrukhabad District, Fatehgarh, Uttar Pradesh",27.364574,79.634987,209601
9514,Aam Khas Bagh,religion,33.33333333,0,2,1,Heritage,No,Fatehgarh,Farrukhabad District,Preet Nagar Fatehgarh Sahib Fatehgarh,Uttar Pradesh,"BPM School, SSB Nagar, Farrukhabad, Farrukhabad District, Fatehgarh, Uttar Pradesh",27.364574,79.634987,209601
7893,Aaravi Beach,food,66.66666667,0,1,2,Beach,No,NULL,Raigarh District;Raigad District,402113,Maharashtra,"Aaravi Beach, Shrivardhan, Raigarh District, Maharashtra",18.090281,72.993999,402113
7893,Aaravi Beach,activity,33.33333333,1,1,1,Beach,No,NULL,Raigarh District;Raigad District,402113,Maharashtra,"Aaravi Beach, Shrivardhan, Raigarh District, Maharashtra",18.090281,72.993999,402113
7893,Aaravi Beach,cleanliness,100,0,0,2,Beach,No,NULL,Raigarh District;Raigad District,402113,Maharashtra,"Aaravi Beach, Shrivardhan, Raigarh District, Maharashtra",18.090281,72.993999,402113
7893,Aaravi Beach,view,100,0,0,1,Beach,No,NULL,Raigarh District;Raigad District,402113,Maharashtra,"Aaravi Beach, Shrivardhan, Raigarh District, Maharashtra",18.090281,72.993999,402113
165,Aare Beach,activity,0,1,1,0,Beach,No,NULL,Ratnagiri District,Ratnagiri,Maharashtra,"Zilla Parishad Vidyamandir Aare, Ratnagiri, Ratnagiri District, Maharashtra",17.073753,73.294299,415617
8018,Aare Ware Beach,activity,100,0,0,4,Beach,No,NULL,Ratnagiri District,Arrey Warrey Road Ratnagiri 415617,Maharashtra,"Arevare Beach, Ratnagiri, Ratnagiri District, Maharashtra",17.087046,73.285902,415617
8018,Aare Ware Beach,food,100,0,0,1,Beach,No,NULL,Ratnagiri District,Arrey Warrey Road Ratnagiri 415617,Maharashtra,"Arevare Beach, Ratnagiri, Ratnagiri District, Maharashtra",17.087046,73.285902,415617
9256,Aayiram Kaal Mandapam,architecture,73.86363636,10,13,65,Heritage,No,NULL,Madurai District,Inside Meenakshi Amman Temple Madurai,Tamil Nadu,"Meenakshi Amman Temple, Peraiyur, Madurai District, Tamil Nadu",9.845894,77.728712,625535
9256,Aayiram Kaal Mandapam,art,77.01149425,9,11,67,Heritage,No,NULL,Madurai District,Inside Meenakshi Amman Temple Madurai,Tamil Nadu,"Meenakshi Amman Temple, Peraiyur, Madurai District, Tamil Nadu",9.845894,77.728712,625535
9256,Aayiram Kaal Mandapam,religion,61.11111111,3,4,11,Heritage,No,NULL,Madurai District,Inside Meenakshi Amman Temple Madurai,Tamil Nadu,"Meenakshi Amman Temple, Peraiyur, Madurai District, Tamil Nadu",9.845894,77.728712,625535
9256,Aayiram Kaal Mandapam,history,82.60869565,2,2,19,Heritage,No,NULL,Madurai District,Inside Meenakshi Amman Temple Madurai,Tamil Nadu,"Meenakshi Amman Temple, Peraiyur, Madurai District, Tamil Nadu",9.845894,77.728712,625535
9256,Aayiram Kaal Mandapam,culture,76.92307692,1,2,10,Heritage,No,NULL,Madurai District,Inside Meenakshi Amman Temple Madurai,Tamil Nadu,"Meenakshi Amman Temple, Peraiyur, Madurai District, Tamil Nadu",9.845894,77.728712,625535
8094,Aazhimala Siva Temple,view,95,0,1,19,Beach,No,Thiruvananthapuram,Thiruvananthapuram District,In Pulinkudi Near Kovalam Trivandrum,Kerala,"Temple, Kovalam Bypass, Thiruvananthapuram, Thiruvananthapuram District, Thiruvananthapuram, Kerala",8.440709,76.955139,695027
8094,Aazhimala Siva Temple,activity,78.94736842,5,3,30,Beach,No,Thiruvananthapuram,Thiruvananthapuram District,In Pulinkudi Near Kovalam Trivandrum,Kerala,"Temple, Kovalam Bypass, Thiruvananthapuram, Thiruvananthapuram District, Thiruvananthapuram, Kerala",8.440709,76.955139,695027
8094,Aazhimala Siva Temple,food,76.92307692,2,4,20,Beach,No,Thiruvananthapuram,Thiruvananthapuram District,In Pulinkudi Near Kovalam Trivandrum,Kerala,"Temple, Kovalam Bypass, Thiruvananthapuram, Thiruvananthapuram District, Thiruvananthapuram, Kerala",8.440709,76.955139,695027
8094,Aazhimala Siva Temple,cleanliness,44.44444444,2,3,4,Beach,No,Thiruvananthapuram,Thiruvananthapuram District,In Pulinkudi Near Kovalam Trivandrum,Kerala,"Temple, Kovalam Bypass, Thiruvananthapuram, Thiruvananthapuram District, Thiruvananthapuram, Kerala",8.440709,76.955139,695027
10327,Aazhiyaar Dam,landscape,62.16216216,14,14,46,Hill-Station,No,NULL,Coimbatore District,Pollachi Valparai Road Coimbatore 641101,Tamil Nadu,"Mobile Tower, Siruvani Main Road, Coimbatore South, Coimbatore District, Tamil Nadu",10.963063,76.817837,641101
10327,Aazhiyaar Dam,activity,69.73684211,15,8,53,Hill-Station,No,NULL,Coimbatore District,Pollachi Valparai Road Coimbatore 641101,Tamil Nadu,"Mobile Tower, Siruvani Main Road, Coimbatore South, Coimbatore District, Tamil Nadu",10.963063,76.817837,641101
10327,Aazhiyaar Dam,view,81.48148148,0,5,22,Hill-Station,No,NULL,Coimbatore District,Pollachi Valparai Road Coimbatore 641101,Tamil Nadu,"Mobile Tower, Siruvani Main Road, Coimbatore South, Coimbatore District, Tamil Nadu",10.963063,76.817837,641101
10327,Aazhiyaar Dam,climate,53.33333333,3,4,8,Hill-Station,No,NULL,Coimbatore District,Pollachi Valparai Road Coimbatore 641101,Tamil Nadu,"Mobile Tower, Siruvani Main Road, Coimbatore South, Coimbatore District, Tamil Nadu",10.963063,76.817837,641101
6702,Abbi Falls,activity,72.22222222,21,19,104,Hill-Station,No,NULL,Kodagu District,Coorg,Karnataka,"Abbey Waterfalls, Madikeri, Kodagu District, Karnataka",12.4582,75.716765,571201
6702,Abbi Falls,view,81.25,4,5,39,Hill-Station,No,NULL,Kodagu District,Coorg,Karnataka,"Abbey Waterfalls, Madikeri, Kodagu District, Karnataka",12.4582,75.716765,571201
6702,Abbi Falls,landscape,56.09756098,6,12,23,Hill-Station,No,NULL,Kodagu District,Coorg,Karnataka,"Abbey Waterfalls, Madikeri, Kodagu District, Karnataka",12.4582,75.716765,571201
6702,Abbi Falls,climate,46.15384615,3,4,6,Hill-Station,No,NULL,Kodagu District,Coorg,Karnataka,"Abbey Waterfalls, Madikeri, Kodagu District, Karnataka",12.4582,75.716765,571201
6751,Abu Road,activity,79.31034483,3,3,23,Hill-Station,No,Mount Abu,Sirohi District,Mount Abu,Rajasthan,"Mount Abu Samiralok Hotel, Abu Road, Sirohi District, Mount Abu, Rajasthan",24.581309,72.72466,307501
6751,Abu Road,landscape,57.14285714,1,2,4,Hill-Station,No,Mount Abu,Sirohi District,Mount Abu,Rajasthan,"Mount Abu Samiralok Hotel, Abu Road, Sirohi District, Mount Abu, Rajasthan",24.581309,72.72466,307501
6751,Abu Road,climate,66.66666667,0,3,6,Hill-Station,No,Mount Abu,Sirohi District,Mount Abu,Rajasthan,"Mount Abu Samiralok Hotel, Abu Road, Sirohi District, Mount Abu, Rajasthan",24.581309,72.72466,307501
6751,Abu Road,view,63.63636364,1,3,7,Hill-Station,No,Mount Abu,Sirohi District,Mount Abu,Rajasthan,"Mount Abu Samiralok Hotel, Abu Road, Sirohi District, Mount Abu, Rajasthan",24.581309,72.72466,307501
10568,Achalgarh Fort,landscape,64.9122807,22,18,74,Hill-Station,No,NULL,Sirohi District,Sirohi District Mount Abu 307501,Rajasthan,"Achalgarh, Abu Road, Sirohi District, Rajasthan",24.630525,72.752126,307501
