Attraction_id,myAttraction_name,Combined_Attraction_Name,Attraction_name,User_Review_Score,Category,City,District,Number_of_Records,Place,State,Website,Formatted_Address,Lat,Lng,Pincode,Exc_frm_vislzn,Keywords
1,Baga Beach,Baga Beach-GoaBeach,Baga Beach,4.43,Beach,Calangute,North Goa District,1,Calangute,Goa,HolidayIQ,"Baga Beach, Baga, Bardez, North Goa District, Calangute, Goa",15.560416,73.749651,403516,No,"['beach', 'skiing', 'water', 'tourist', 'jet', 'cruise', 'sport', 'sand', 'year', 'km', 'windsurfing', 'extension']"
2,Juhu Beach,Juhu Beach-MaharashtraBeach,Juhu Beach,4.19,Beach,Mumbai,Mumbai Suburban District,1,Mumbai,Maharashtra,HolidayIQ,"Juhu Beach, Juhu Tara Road, Theosophical Housing Colony, Juhu, Mumbai Suburban, Mumbai Suburban District, Mumbai, Maharashtra",19.096996,72.826174,400049,No,"['beach', 'tourist', 'suburb', 'glimpse', 'swimming', 'west', 'balloon', 'fee', 'air', 'day', 'option', 'side', 'ice', 'people', 'end', 'horizon', 'time', 'admission', 'plane', 'station']"
3,Calangute Beach,Calangute Beach-GoaBeach,Calangute Beach,4.37,Beach,Calangute,North Goa District,1,Calangute,Goa,HolidayIQ,"Calangute Beach, Arpora, Bardez, North Goa District, Calangute, Goa",15.544772,73.754826,403516,No,"['water', 'skiing', 'beach', 'bump', 'opportunity', 'activity', 'ride', 'sailing', 'km', 'surfing']"
4,Elephanta Island,Elephanta Island-MaharashtraBeach,Elephanta Island,4.23,Beach,Mumbai,Mumbai District,1,Mumbai,Maharashtra,HolidayIQ,"Elaphanta Ferry Start Point, Chhatrapati Shivaji Maharaj Marg, Colaba, Mumbai, Mumbai District, Mumbai, Maharashtra",18.923123,72.834317,400005,No,"['island', 'boat', 'cave', 'temple', 'pm', 'belief', 'practice', 'century', 'tourist', 'sculpture', 'cross', 'luxury', 'matter', 'history', 'site', 'fact', 'hall', 'hour', 'posture', 'visitor']"
5,Cherai Beach,Cherai Beach-KeralaBeach,Cherai Beach,4.38,Beach,Kochi,Ernakulam District,1,Kochi (Cochin),Kerala,HolidayIQ,"RC Road, Mundamveli, Kochi, Ernakulam District, Kochi, Kerala",10.139174,76.179225,682507,No,"['beach', 'activity', 'island', 'water', 'palm', 'shoreline', 'tree', 'land', 'coconut', 'end', 'sand', 'boat', 'variety', 'sport']"
6,Fort Kochi Beach,Fort Kochi Beach-KeralaBeach,Fort Kochi Beach,4.15,Beach,Kochi,Ernakulam District,1,Kochi (Cochin),Kerala,HolidayIQ,"Fort Kochi Beach, Fort Kochi, Kochi, Ernakulam District, Kochi, Kerala",9.967144,76.239843,682001,No,"['beach', 'city', 'settlement', 'village', 'sailing', 'sport', 'water', 'highlight', 'surfing', 'countryside', 'snorkelling', 'kayaking', 'reminiscent', 'fishing', 'week', 'era', 'suburb', 'bungalow', 'canoeing', 'net']"
8,New Digha,New Digha-West BengalBeach,New Digha,4.44,Beach,Nebadhai Duttapukur,North Twenty Four Parganas District,1,Digha,West Bengal,HolidayIQ,"Digha, Barasat I, North Twenty Four Parganas District, Nebadhai Duttapukur, West Bengal",22.756598,88.528543,743248,Yes,"['science', 'centre', 'park', 'tourist', 'hotspot', 'addition', 'part', 'beach', 'lake', 'accommodation', 'list', 'facility', 'opportunity', 'hotel', 'attraction', 'extension']"
9,Talasari,Talasari-MaharashtraBeach,Talasari,4.23,Beach,Talasari,Palghar District,1,Digha,Maharashtra,HolidayIQ,"Talasari Police Station, Talasari, Palghar District, Talasari, Maharashtra",20.118364,72.917883,401606,No,"['delta', 'km', 'water', 'beach', 'sea', 'border']"
11,Subarnarekha River,Subarnarekha River-West BengalBeach,Subarnarekha River,4.15,Beach,Nebadhai Duttapukur,North Twenty Four Parganas District,1,Digha,West Bengal,HolidayIQ,"Digha, Barasat I, North Twenty Four Parganas District, Nebadhai Duttapukur, West Bengal",22.756598,88.528543,743248,Yes,"['beach', 'sea', 'tourist', 'confluence', 'river', 'car', 'km', 'village', 'walk', 'point', 'border', 'meeting', 'highway']"
12,Ramakrishna Beach,Ramakrishna Beach-Andhra PradeshBeach,Ramakrishna Beach,4.63,Beach,Visakhapatnam,Visakhapatnam District,1,Visakhapatnam,Andhra Pradesh,HolidayIQ,"Ramakrishna Electricals, MIG, Sector 8, MVP Colony, Visakhapatnam Urban, Visakhapatnam District, Visakhapatnam, Andhra Pradesh",17.73708,83.33362,530017,No,"['beach', 'activity', 'water', 'surroundings', 'country', 'coast', 'boat', 'sunrise', 'angling', 'surfing', 'wind', 'coastline', 'sunset', 'seafront', 'sea', 'fishing', 'kind', 'part', 'view', 'traveller']"
